        current       future fid time pch   color ageclass  event init
1       crawler first.instar   2 55   0     brown  crawler future   10
2  first.instar   first.molt   3 92   1     green     host future    4
3    first.molt     second.1   4 48   1     green     host future    4
4      second.1     second.2   5 30   2 turquoise     host future    1
5      second.2     second.3   6 30   2 turquoise     host future    1
6      second.3       female   8 52   2 turquoise     host future    1
7      second.3         male   9 52   2 turquoise     host future    1
8        female  second.molt  10  0   2 turquoise     host future    0
9          male        death  16  0   2 turquoise     host future    0
10  second.molt      third.1  11 48   2 turquoise     host future    1
11      third.1      third.2  12 55   3      blue     host future    1
12      third.2      third.3  13 55   3      blue     host future    1
13      third.3       virgin  14 95   3      blue     host future    1
14       virgin       gravid  15 90   V    violet     host future    1
15       gravid       gravid  15 10   G     black   gravid  birth    2
16        death        death  16  0   D       red       NA  death    0
17      starved        death  16  0   D       red   gravid future    0   
