    current   future fid time pch    color ageclass   event init
1       egg   larvae   2  48   E     brown    young  future   10
2    larvae prepupae   3  60   L     green    young  future    5
3  prepupae    pupae   4  24   p turquoise    young  future    3
4     pupae    adult   5 144   P      blue    young  future    2
5     adult     feed   7  12   F    orange    adult  future    1
6     adult     ovip   8  12   H    purple    adult  future    0
7      feed    adult   5  12   F    orange    adult  attack    0
8      ovip    adult   5  12   H    purple    adult  attack    0
9     death    death   9   0   D       red       NA   death    0
10     male    death   9   0   D       red    adult  future    0
11  starved    death   9   0   D       red    adult  future    0
